     Row  Symbol          a1          a2          a3          a4          b1          b2          b3          b4           c
      91    ru     19.267399   12.918200    4.863370    1.567560    0.808520    8.434669   24.799700   94.292801    5.378740
      92    ru+3   18.563801   13.288500    9.326019    3.009640    0.847329    8.371640    0.017662   22.886999   -3.189200
      93    ru+4   18.500299   13.178699    4.713040    2.185350    0.844582    8.125340    0.364950   20.850399    1.423570
      94    rh     19.295700   14.350100    4.734250    1.289180    0.751536    8.217580   25.874901   98.606201    5.328000
      95    rh+3   18.878500   14.125900    3.325150   -6.198900    0.764252    7.844380   21.248699   -0.010360   11.867800
      96    rh+4   18.854500   13.980600    2.534640   -5.652600    0.760825    7.624360   19.331699   -0.010200   11.283500
      97    pd     19.331900   15.501699    5.295370    0.605844    0.698655    7.989290   25.205200   76.898598    5.265930
      98    pd+2   19.170099   15.209600    4.322340    0.000000    0.696219    7.555730   22.505699    0.000000    5.291600
      99    pd+4   19.249300   14.790000    2.892890   -7.949200    0.683839    7.148330   17.914400    0.005127   13.017400
     100    ag     19.280800   16.688499    4.804500    1.046300    0.644600    7.472600   24.660500   99.815598    5.179000
     101    ag+1   19.181200   15.971900    5.274750    0.357534    0.646179    7.191230   21.732599   66.114700    5.215720
     102    ag+2   19.164299   16.245600    4.370900    0.000000    0.645643    7.185440   21.407200    0.000000    5.214040
     103    cd     19.221399   17.644400    4.461000    1.602900    0.594600    6.908900   24.700800   87.482498    5.069400
     104    cd+2   19.151400   17.253500    4.471280    0.000000    0.597922    6.806390   20.252100    0.000000    5.119370
     105    in     19.162399   18.559601    4.294800    2.039600    0.547600    6.377600   25.849899   92.802902    4.939100
     106    in+3   19.104500   18.110800    3.788970    0.000000    0.551522    6.324700   17.359501    0.000000    4.996350
     107    sn     19.188900   19.100500    4.458500    2.466300    5.830300    0.503100   26.890900   83.957100    4.782100
     108    sn+2   19.109400   19.054800    4.564800    0.487000    0.503600    5.837800   23.375200   62.206100    4.786100
     109    sn+4   18.933300   19.713100    3.418200    0.019300    5.764000    0.465500   14.004900   -0.758300    3.918200
     110    sb     19.641800   19.045500    5.037100    2.682700    5.303400    0.460700   27.907400   75.282501    4.590900
     111    sb+3   18.975500   18.932999    5.107890    0.288753    0.467196    5.221260   19.590200   55.511299    4.696260
     112    sb+5   19.868500   19.030199    2.412530    0.000000    5.448530    0.467973   14.125900    0.000000    4.692630
     113    te     19.964399   19.013800    6.144870    2.523900    4.817420    0.420885   28.528400   70.840302    4.352000
     114    i      20.147200   18.994900    7.513800    2.273500    4.347000    0.381400   27.765999   66.877602    4.071200
     115    i-1    20.233200   18.997000    7.806900    2.886800    4.357900    0.381500   29.525900   84.930397    4.071400
     116    xe     20.293301   19.029800    8.976700    1.990000    3.928200    0.344000   26.465900   64.265800    3.711800
     117    cs     20.389200   19.106199   10.662000    1.495300    3.569000    0.310700   24.387899  213.903992    3.335200
     118    cs+1   20.352400   19.127800   10.282100    0.961500    3.552000    0.308600   23.712799   59.456497    3.279100
     119    ba     20.336100   19.297001   10.888000    2.695900    3.216000    0.275600   20.207300  167.201996    2.773100
     120    ba+2   20.180700   19.113600   10.905399    0.776340    3.213670    0.283310   20.055799   51.745998    3.029020
     121    la     20.577999   19.598999   11.372700    3.287190    2.948170    0.244475   18.772600  133.123993    2.146780
     122    la+3   20.248899   19.376301   11.632299    0.336048    2.920700    0.250698   17.821100   54.945297    2.408600
     123    ce     21.167099   19.769501   11.851299    3.330490    2.812190    0.226836   17.608299  127.112999    1.862640
     124    ce+3   20.803600   19.559000   11.936900    0.612376    2.776910    0.231540   16.540800   43.169201    2.090130
     125    ce+4   20.323500   19.818600   12.123300    0.144583    2.659410    0.218850   15.799200   62.235500    1.591800
     126    pr     22.043999   19.669701   12.385600    2.824280    2.773930    0.222087   16.766899  143.643997    2.058300
     127    pr+3   21.372700   19.749100   12.132900    0.975180    2.645200    0.214299   15.323000   36.406502    1.771320
     128    pr+4   20.941299   20.053900   12.466800    0.296689    2.544670    0.202481   14.813700   45.464298    1.242850
     129    nd     22.684500   19.684700   12.774000    2.851370    2.662480    0.210628   15.885000  137.903000    1.984860
     130    nd+3   21.961000   19.933899   12.120000    1.510310    2.527220    0.199237   14.178300   30.871700    1.475880
     131    pm     23.340500   19.609501   13.123500    2.875160    2.562700    0.202088   15.100900  132.720993    2.028760
     132    pm+3   22.552700   20.110800   12.067100    2.074920    2.417400    0.185769   13.127500   27.449100    1.194990
     133    sm     24.004200   19.425800   13.439600    2.896040    2.472740    0.196451   14.399600  128.007004    2.209630
     134    sm+3   23.150400   20.259899   11.920200    2.714880    2.316410    0.174081   12.157100   24.824200    0.954586
     135    eu     24.627399   19.088600   13.760300    2.922700    2.387900    0.194200   13.754600  123.173996    2.574500
     136    eu+2   24.006300   19.950399   11.803400    3.872430    2.277830    0.173530   11.609600   26.515600    1.363890
     137    eu+3   23.749699   20.374500   11.850900    3.265030    2.222580    0.163940   11.311000   22.996599    0.759344
     138    gd     25.070900   19.079800   13.851800    3.545450    2.253410    0.181951   12.933100  101.397995    2.419600
     139    gd+3   24.346600   20.420799   11.870800    3.714900    2.135530    0.155525   10.578199   21.702900    0.645089
     140    tb     25.897600   18.218500   14.316700    2.953540    2.242560    0.196143   12.664800  115.362000    3.582240
     141    tb+3   24.955900   20.327099   12.247100    3.773000    2.056010    0.149525   10.049900   21.277300    0.691967
     142    dy     26.507000   17.638300   14.559600    2.965770    2.180200    0.202172   12.189899  111.874001    4.297280
     143    dy+3   25.539499   20.286100   11.981200    4.500730    1.980400    0.143384    9.349720   19.580999    0.689690
     144    ho     26.904900   17.293999   14.558300    3.638370    2.070510    0.197940   11.440700   92.656601    4.567960
     145    ho+3   26.129601   20.099400   11.978800    4.936760    1.910720    0.139358    8.800180   18.590799    0.852795
     146    er     27.656300   16.428499   14.977900    2.982330    2.073560    0.223545   11.360400  105.703003    5.920460
     147    er+3   26.722000   19.774799   12.150600    5.173790    1.846590    0.137290    8.362249   17.897400    1.176130
     148    tm     28.181900   15.885099   15.154200    2.987060    2.028590    0.238849   10.997499  102.960999    6.756210
     149    tm+3   27.308300   19.332001   12.333900    5.383480    1.787110    0.136974    7.967780   17.292200    1.639290
     150    yb     28.664101   15.434500   15.308700    2.989630    1.988900    0.257119   10.664700  100.417000    7.566720
     151    yb+2   28.120899   17.681700   13.333500    5.146570    1.785030    0.159970    8.183040   20.389999    3.709830
     152    yb+3   27.891701   18.761400   12.607200    5.476470    1.732720    0.138790    7.644120   16.815300    2.260010
     153    lu     28.947599   15.220800   15.100000    3.716010    1.901820    9.985189    0.261033   84.329803    7.976280
     154    lu+3   28.462799   18.121000   12.842899    5.594150    1.682160    0.142292    7.337270   16.353500    2.975730
     155    hf     29.143999   15.172600   14.758600    4.300130    1.832620    9.599899    0.275116   72.028999    8.581540
     156    hf+4   28.813099   18.460100   12.728500    5.599270    1.591360    0.128903    6.762320   14.036600    2.396990
     157    ta     29.202400   15.229300   14.513500    4.764920    1.773330    9.370460    0.295977   63.364399    9.243540
     158    ta+5   29.158699   18.840700   12.826799    5.386950    1.507110    0.116741    6.315240   12.424400    1.785550
     159    w      29.081800   15.430000   14.432700    5.119820    1.720290    9.225900    0.321703   57.056000    9.887500
     160    w+6    29.493599   19.376301   13.054399    5.064120    1.427550    0.104621    5.936670   11.197200    1.010740
     161    re     28.762100   15.718900   14.556400    5.441740    1.671910    9.092270    0.350500   52.086098   10.472000
     162    os     28.189400   16.154999   14.930500    5.675890    1.629030    8.979480    0.382661   48.164700   11.000500
     163    os+4   30.418999   15.263700   14.745800    5.067950    1.371130    6.847060    0.165191   18.003000    6.498040
     164    ir     27.304899   16.729599   15.611500    5.833770    1.592790    8.865530    0.417916   45.001099   11.472200
     165    ir+3   30.415600   15.862000   13.614500    5.820080    1.343230    7.109090    0.204633   20.325399    8.279030
     166    ir+4   30.705799   15.551200   14.232600    5.536720    1.309230    6.719830    0.167252   17.491100    6.968240
     167    pt     27.005899   17.763901   15.713100    5.783700    1.512930    8.811740    0.424593   38.610298   11.688300
     168    pt+2   29.842899   16.722401   13.215300    6.352340    1.329270    7.389790    0.263297   22.942600    9.853290
     169    pt+4   30.961201   15.982900   13.734800    5.920340    1.248130    6.608340    0.168640   16.939199    7.395340
     170    au     16.881901   18.591299   25.558201    5.860000    0.461100    8.621600    1.482600   36.395599   12.065800
     171    au+1   28.010899   17.820400   14.335899    6.580770    1.353210    7.739500    0.356752   26.404301   11.229900
     172    au+3   30.688599   16.902901   12.780100    6.523540    1.219900    6.828720    0.212867   18.659000    9.096800
     173    hg     20.680901   19.041700   21.657499    5.967600    0.545000    8.448400    1.572900   38.324600   12.608900
     174    hg+1   25.085300   18.497299   16.888300    6.482160    1.395070    7.651050    0.443378   28.226200   12.020500
     175    hg+2   29.564100   18.059999   12.837400    6.899120    1.211520    7.056390    0.284738   20.748199   10.626800
     176    tl     27.544600   19.158400   15.538000    5.525930    0.655150    8.707510    1.963470   45.814899   13.174600
     177    tl+1   21.398500   20.472300   18.747799    6.828470    1.471100    0.517394    7.434630   28.848200   12.525800
     178    tl+3   30.869499   18.384100   11.932800    7.005740    1.100800    6.538520    0.219074   17.211399    9.802700
     179    pb     31.061699   13.063700   18.441999    5.969600    0.690200    2.357600    8.618000   47.257900   13.411800
     180    pb+2   21.788601   19.568199   19.140600    7.011070    1.336600    0.488383    6.772700   23.813200   12.473400
     181    pb+4   32.124397   18.800301   12.017500    6.968860    1.005660    6.109260    0.147041   14.714000    8.084280
     182    bi     33.368900   12.951000   16.587700    6.469200    0.704000    2.923800    8.793700   48.009300   13.578199
     183    bi+3   21.805300   19.502600   19.105301    7.102950    1.235600    6.241490    0.469999   20.318501   12.471100
     184    bi+5   33.536400   25.094601   19.249699    6.915550    0.916540    0.390420    5.714140   12.828500   -6.799400
     185    po     34.672600   15.473300   13.113800    7.025880    0.700999    3.550780    9.556419   47.004501   13.677000
     186    at     35.316299   19.021099    9.498870    7.425180    0.685870    3.974580   11.382400   45.471500   13.710800
     187    rn     35.563099   21.281601    8.003700    7.443300    0.663100    4.069100   14.042200   44.247299   13.690500
     188    fr     35.929901   23.054699   12.143900    2.112530    0.646453    4.176190   23.105200  150.644989   13.724700
     189    ra     35.763000   22.906399   12.473900    3.210970    0.616341    3.871350   19.988701  142.324997   13.621099
     190    ra+2   35.215000   21.670000    7.913420    7.650780    0.604909    3.576700   12.601000   29.843599   13.543100
     191    ac     35.659698   23.103199   12.597700    4.086550    0.589092    3.651550   18.598999  117.019997   13.526600
     192    ac+3   35.173599   22.111200    8.192160    7.055450    0.579689    3.414370   12.918700   25.944300   13.463699
     193    th     35.564499   23.421900   12.747300    4.807030    0.563359    3.462040   17.830900   99.172195   13.431400
